user_id,video_id,watched_at
uid01,vid004,01-08-2022 07:00
uid02,vid002,01-08-2022 07:00
uid03,vid003,01-08-2022 07:00
uid05,vid005,01-08-2022 07:00
uid02,vid004,01-08-2022 09:00
uid03,vid002,01-08-2022 10:00
uid02,vid003,01-08-2022 12:00
uid03,vid004,01-08-2022 13:00
uid04,vid001,01-08-2022 17:00
uid07,vid002,01-08-2022 20:00
uid08,vid003,02-08-2022 07:00
uid10,vid002,02-08-2022 07:00
uid08,vid005,02-08-2022 10:00
uid06,vid004,02-08-2022 14:00
uid09,vid002,02-08-2022 16:00
uid08,vid004,02-08-2022 17:00
uid10,vid003,02-08-2022 18:00
uid10,vid004,02-08-2022 22:00
uid01,vid002,03-08-2022 09:00
uid01,vid005,03-08-2022 10:00
uid01,vid001,03-08-2022 12:00
uid04,vid003,04-08-2022 07:00
uid05,vid004,04-08-2022 09:00
uid04,vid001,04-08-2022 13:00
uid05,vid003,04-08-2022 22:00
uid09,vid004,05-08-2022 07:00
uid07,vid002,05-08-2022 10:00
uid09,vid005,05-08-2022 10:00
uid07,vid003,05-08-2022 17:00
uid04,vid005,10-08-2022 06:00
uid03,vid001,10-08-2022 07:00
uid02,vid006,10-08-2022 10:00
uid03,vid005,10-08-2022 10:00
uid02,vid001,10-08-2022 12:30
uid01,vid003,10-08-2022 14:30
uid01,vid005,10-08-2022 17:00
uid02,vid006,12-08-2022 07:00
uid02,vid005,12-08-2022 07:00
uid05,vid003,12-08-2022 12:00
uid02,vid006,12-08-2022 13:00
uid04,vid002,12-08-2022 22:00
uid09,vid001,13-08-2022 07:00
uid10,vid002,13-08-2022 08:00
uid09,vid005,13-08-2022 15:00
uid10,vid004,13-08-2022 19:00
uid04,vid004,13-08-2022 22:00
uid08,vid002,14-08-2022 07:00
uid02,vid006,15-08-2022 07:00
uid03,vid007,15-08-2022 08:00
uid07,vid003,15-08-2022 14:00
uid10,vid001,15-08-2022 20:00
